run_id,experiment_id,pattern,model,task_name,status,llm_calls,prompt_tokens,completion_tokens,planner_calls,executor_calls,duration_seconds,energy_kwh,pass_rate,timestamp,total_tokens,energy_joules,success,model_size_b,pattern_paper_name
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,accumulate,completed,1,870,1171,0,1,19.88969016,0.000299981,1,2026-05-09T01:02:57Z,2041,1079.9316,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,acronym,failed,2,3089,12006,0,2,187.4826963,0.002169428,0,2026-05-09T01:02:57Z,15095,7809.9408,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,affine-cipher,failed,0,0,0,0,0,900.0,0.013115579,0,2026-05-09T01:02:57Z,0,47216.0844,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,all-your-base,failed,1,1387,5383,0,1,900.0,0.014065181,0,2026-05-09T01:02:57Z,6770,50634.6516,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,allergies,completed,1,995,5717,0,1,87.24498606,0.001019629,1,2026-05-09T01:02:57Z,6712,3670.6644,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,alphametics,failed,2,4178,11990,0,2,311.896847,0.003634574,0,2026-05-09T01:02:57Z,16168,13084.4664,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,anagram,failed,1,1132,2683,0,1,900.0,0.013566765,0,2026-05-09T01:02:57Z,3815,48840.354,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,armstrong-numbers,completed,1,932,1201,0,1,17.36817408,0.000216869,1,2026-05-09T01:02:57Z,2133,780.7284,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,atbash-cipher,failed,1,1013,7534,0,1,900.0,0.015846634,0,2026-05-09T01:02:57Z,8547,57047.882399999995,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,bank-account,completed,2,4276,10358,0,2,165.1306698,0.001909313,1,2026-05-09T01:02:57Z,14634,6873.5268,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,beer-song,failed,1,4128,5822,0,1,900.0,0.014262785,0,2026-05-09T01:02:57Z,9950,51346.026,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,binary,completed,1,1260,4017,0,1,60.21279907,0.000705038,1,2026-05-09T01:02:57Z,5277,2538.1367999999998,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,binary-search,completed,1,1536,1427,0,1,21.22743297,0.000261983,1,2026-05-09T01:02:57Z,2963,943.1388,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,binary-search-tree,failed,2,5555,8112,0,2,128.6583002,0.001496053,0,2026-05-09T01:02:57Z,13667,5385.7908,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,bob,completed,1,973,1722,0,1,25.01089787,0.000309048,1,2026-05-09T01:02:57Z,2695,1112.5728000000001,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,book-store,failed,0,0,0,0,0,900.0,0.01311374,0,2026-05-09T01:02:57Z,0,47209.464,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,bottle-song,failed,1,1108,6454,0,1,900.0,0.014259062,0,2026-05-09T01:02:57Z,7562,51332.623199999995,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,bowling,failed,0,0,0,0,0,900.0,0.013114934,0,2026-05-09T01:02:57Z,0,47213.7624,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,camicia,failed,1,2574,6647,0,1,900.0,0.015744768,0,2026-05-09T01:02:57Z,9221,56681.1648,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,change,completed,2,4912,7875,0,2,123.1853881,0.001432787,1,2026-05-09T01:02:57Z,12787,5158.0332,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,circular-buffer,failed,1,1734,2248,0,1,900.0,0.013503894,0,2026-05-09T01:02:57Z,3982,48614.0184,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,clock,failed,1,1686,4572,0,1,900.0,0.015294313,0,2026-05-09T01:02:57Z,6258,55059.5268,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,collatz-conjecture,completed,1,1358,1508,0,1,22.12418389,0.000273039,1,2026-05-09T01:02:57Z,2866,982.9404,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,complex-numbers,failed,2,5566,8350,0,2,135.659739,0.00157549,0,2026-05-09T01:02:57Z,13916,5671.764,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,connect,failed,0,0,0,0,0,900.0,0.013113874,0,2026-05-09T01:02:57Z,0,47209.9464,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,crypto-square,failed,0,0,0,0,0,900.0,0.013111627,0,2026-05-09T01:02:57Z,0,47201.857200000006,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,custom-set,completed,2,3215,8948,0,2,136.8792892,0.001588735,1,2026-05-09T01:02:57Z,12163,5719.446,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,darts,completed,1,1186,4169,0,1,62.51293516,0.000733251,1,2026-05-09T01:02:57Z,5355,2639.7036,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,diamond,failed,0,0,0,0,0,900.0,0.01311049,0,2026-05-09T01:02:57Z,0,47197.764,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,difference-of-squares,completed,1,914,1442,0,1,20.56787014,0.000253933,1,2026-05-09T01:02:57Z,2356,914.1588,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,diffie-hellman,completed,1,1091,2554,0,1,37.09705997,0.000443251,1,2026-05-09T01:02:57Z,3645,1595.7035999999998,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,dnd-character,completed,2,3466,5224,0,2,78.2136631,0.000917981,1,2026-05-09T01:02:57Z,8690,3304.7316,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,dominoes,failed,0,0,0,0,0,900.0,0.013109639,0,2026-05-09T01:02:57Z,0,47194.700399999994,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,dot-dsl,failed,1,1550,6882,0,1,900.0,0.014367282,0,2026-05-09T01:02:57Z,8432,51722.2152,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,eliuds-eggs,completed,1,1213,3281,0,1,48.70778608,0.000575938,1,2026-05-09T01:02:57Z,4494,2073.3768,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,error-handling,failed,2,2633,10998,0,2,171.053786,0.001979143,0,2026-05-09T01:02:57Z,13631,7124.9148000000005,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,etl,completed,1,1178,2200,0,1,32.1071682,0.000385904,1,2026-05-09T01:02:57Z,3378,1389.2544,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,flatten-array,completed,1,926,2746,0,1,39.62688994,0.000474797,1,2026-05-09T01:02:57Z,3672,1709.2692,1,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,flower-field,failed,1,1274,4567,0,1,900.0,0.01390484,0,2026-05-09T01:02:57Z,5841,50057.424,0,4,baseline
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,food-chain,failed,0,0,0,0,0,900.0,0.013106744,0,2026-05-09T01:02:57Z,0,47184.2784,0,4,baseline
