pattern_paper_name,model,n_runs,successes,mean_energy_j,energy_j_per_success,mean_duration_s,mean_total_tokens,mean_llm_calls
baseline,qwen3:4b,100,51,21917.94,42976.36,412.07,5847.76,1.02
baseline,qwen3:8b,100,58,17609.94,30361.97,343.0,4185.33,1.05
baseline,qwen3:14b,100,50,16891.99,33783.97,494.51,4889.68,1.51
memory,qwen3:4b,100,13,41800.68,321543.67,800.24,385.43,0.13
memory,qwen3:8b,100,52,20436.16,39300.31,397.13,4667.1,1.0
memory,qwen3:14b,100,45,24511.0,54468.89,561.64,5809.22,1.47
decomposition,qwen3:4b,100,28,20290.73,72466.9,425.29,25473.43,5.96
decomposition,qwen3:8b,100,28,26340.55,94073.38,463.62,13378.95,4.89
decomposition,qwen3:14b,100,21,18232.99,86823.76,746.07,8495.21,5.25
reflection,qwen3:4b,100,51,44070.05,86411.87,476.3,15737.57,2.57
reflection,qwen3:8b,100,53,43283.1,81666.23,468.82,13668.67,2.65
reflection,qwen3:14b,100,43,56565.87,131548.52,668.3,13063.39,3.42
multiplan,qwen3:4b,100,40,14348.37,35870.91,336.71,27841.91,8.02
multiplan,qwen3:8b,100,52,17484.27,33623.6,328.36,17192.46,8.05
multiplan,qwen3:14b,100,41,24584.95,59963.29,638.62,9979.88,8.29
