run_id,experiment_id,pattern,model,task_name,status,llm_calls,prompt_tokens,completion_tokens,planner_calls,executor_calls,duration_seconds,energy_kwh,pass_rate,timestamp
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,accumulate,COMPLETED,1,870,1171,0,1,19.88969016,0.000299981,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,acronym,FAILED,2,3089,12006,0,2,187.4826963,0.002169428,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,affine-cipher,FAILED,0,0,0,0,0,900,0.013115579,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,all-your-base,FAILED,1,1387,5383,0,1,900,0.014065181,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,allergies,COMPLETED,1,995,5717,0,1,87.24498606,0.001019629,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,alphametics,FAILED,2,4178,11990,0,2,311.896847,0.003634574,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,anagram,FAILED,1,1132,2683,0,1,900,0.013566765,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,armstrong-numbers,COMPLETED,1,932,1201,0,1,17.36817408,0.000216869,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,atbash-cipher,FAILED,1,1013,7534,0,1,900,0.015846634,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,bank-account,COMPLETED,2,4276,10358,0,2,165.1306698,0.001909313,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,beer-song,FAILED,1,4128,5822,0,1,900,0.014262785,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,binary,COMPLETED,1,1260,4017,0,1,60.21279907,0.000705038,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,binary-search,COMPLETED,1,1536,1427,0,1,21.22743297,0.000261983,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,binary-search-tree,FAILED,2,5555,8112,0,2,128.6583002,0.001496053,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,bob,COMPLETED,1,973,1722,0,1,25.01089787,0.000309048,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,book-store,FAILED,0,0,0,0,0,900,0.01311374,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,bottle-song,FAILED,1,1108,6454,0,1,900,0.014259062,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,bowling,FAILED,0,0,0,0,0,900,0.013114934,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,camicia,FAILED,1,2574,6647,0,1,900,0.015744768,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,change,COMPLETED,2,4912,7875,0,2,123.1853881,0.001432787,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,circular-buffer,FAILED,1,1734,2248,0,1,900,0.013503894,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,clock,FAILED,1,1686,4572,0,1,900,0.015294313,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,collatz-conjecture,COMPLETED,1,1358,1508,0,1,22.12418389,0.000273039,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,complex-numbers,FAILED,2,5566,8350,0,2,135.659739,0.00157549,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,connect,FAILED,0,0,0,0,0,900,0.013113874,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,crypto-square,FAILED,0,0,0,0,0,900,0.013111627,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,custom-set,COMPLETED,2,3215,8948,0,2,136.8792892,0.001588735,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,darts,COMPLETED,1,1186,4169,0,1,62.51293516,0.000733251,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,diamond,FAILED,0,0,0,0,0,900,0.01311049,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,difference-of-squares,COMPLETED,1,914,1442,0,1,20.56787014,0.000253933,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,diffie-hellman,COMPLETED,1,1091,2554,0,1,37.09705997,0.000443251,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,dnd-character,COMPLETED,2,3466,5224,0,2,78.2136631,0.000917981,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,dominoes,FAILED,0,0,0,0,0,900,0.013109639,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,dot-dsl,FAILED,1,1550,6882,0,1,900,0.014367282,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,eliuds-eggs,COMPLETED,1,1213,3281,0,1,48.70778608,0.000575938,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,error-handling,FAILED,2,2633,10998,0,2,171.053786,0.001979143,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,etl,COMPLETED,1,1178,2200,0,1,32.1071682,0.000385904,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,flatten-array,COMPLETED,1,926,2746,0,1,39.62688994,0.000474797,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,flower-field,FAILED,1,1274,4567,0,1,900,0.01390484,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,food-chain,FAILED,0,0,0,0,0,900,0.013106744,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,forth,FAILED,0,0,0,0,0,900,0.013109015,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,game-of-life,COMPLETED,2,2612,4150,0,2,60.51362014,0.000713996,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,gigasecond,COMPLETED,1,1627,1696,0,1,25.22803283,0.000309566,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,go-counting,FAILED,0,0,0,0,0,900,0.01310989,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,grade-school,FAILED,2,4860,10560,0,2,171.6477659,0.001987551,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,grains,COMPLETED,1,1115,1852,0,1,26.88629389,0.000329861,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,grep,FAILED,0,0,0,0,0,900,0.013107377,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,hamming,COMPLETED,1,1216,868,0,1,13.056602,0.00017368,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,hangman,FAILED,1,1245,3370,0,1,900,0.013685027,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,hello-world,COMPLETED,1,835,508,0,1,7.583935022,0.000107057,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,hexadecimal,COMPLETED,1,810,2622,0,1,37.50598717,0.000449153,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,high-scores,COMPLETED,2,3820,4765,0,2,72.0189693,0.000851562,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,house,COMPLETED,2,9142,12566,0,2,219.3003809,0.002531319,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,isbn-verifier,COMPLETED,1,1217,6107,0,1,94.62934518,0.001100199,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,isogram,COMPLETED,2,2097,5303,0,2,77.25457811,0.00090665,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,killer-sudoku-helper,COMPLETED,2,6731,4524,0,2,71.88029909,0.000851159,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,kindergarten-garden,FAILED,2,6631,7962,0,2,257.9945199,0.002971057,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,knapsack,COMPLETED,1,1070,2961,0,1,43.60864878,0.000520645,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,largest-series-product,COMPLETED,2,3460,4910,0,2,73.77038383,0.000871128,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,leap,COMPLETED,1,891,1212,0,1,17.60913301,0.000220902,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,ledger,FAILED,0,0,0,0,0,900,0.013107398,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,line-up,COMPLETED,1,1035,2703,0,1,39.32128096,0.000470447,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,linked-list,COMPLETED,2,8573,10165,0,2,176.320827,0.002043102,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,list-ops,FAILED,1,1077,7318,0,1,900,0.014424814,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,luhn,FAILED,0,0,0,0,0,900,0.01310726,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,markdown,FAILED,0,0,0,0,0,900,0.013110223,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,matching-brackets,COMPLETED,1,906,1840,0,1,26.43034101,0.000324508,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,matrix,COMPLETED,1,1111,2932,0,1,42.80889797,0.000511213,1,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,meetup,FAILED,0,0,0,0,0,900,0.013110162,0,2026-05-09T01:02:57Z
20260508-120747--baseline--qwen3_4b,20260508-120747--experiment,baseline,qwen3:4b,minesweeper,COMPLETED,2,3821,8484,0,2,130.8295281,0.001521071,1,2026-05-09T01:02:57Z
